,PlantType,DataSource,ATBTechnologyType,FuelType,ThermalOrRenewableOrStorage,Capacity (MW),Heat Rate (Btu/kWh),CAPEX(2012$/MW),FOM(2012$/MW/yr),VOM(2012$/MWh),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),CO2EmRate(lb/MMBtu),Lifetime(years),FuelPrice($/MMBtu),SO2 Scrubber,CoalType,Efficiency,Nameplate Energy Capacity (MWh),Minimum Energy Capacity (MWh),Maximum Charge Rate (MW),ECAPEX(2012$/MWH),PlantCategory,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,region,Latitude,Longitude,geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,GAMS Symbol,Max Zonal Cap,Variable Weight
69,windlat31.5lon-105.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,31.5,-105.625,POINT (-105.625 31.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat31.5lon-105.625p61,16.0,1
70,windlat31.5lon-100.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,31.5,-100.625,POINT (-100.625 31.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat31.5lon-100.625p61,16.0,1
71,windlat32.0lon-104.375,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,32.0,-104.375,POINT (-104.375 32),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat32.0lon-104.375p61,16.0,1
72,windlat32.0lon-99.375,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,32.0,-99.375,POINT (-99.375 32),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat32.0lon-99.375p61,16.0,1
73,windlat32.5lon-100.0,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,32.5,-100.0,POINT (-100 32.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat32.5lon-100.0p61,16.0,1
74,solarlat29.5lon-103.125,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,29.5,-103.125,POINT (-103.125 29.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat29.5lon-103.125p61,680.0,1
75,solarlat30.0lon-103.75,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,30.0,-103.75,POINT (-103.75 30),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat30.0lon-103.75p61,680.0,1
76,solarlat30.0lon-101.25,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,30.0,-101.25,POINT (-101.25 30),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat30.0lon-101.25p61,680.0,1
77,solarlat30.5lon-103.125,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,30.5,-103.125,POINT (-103.125 30.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat30.5lon-103.125p61,680.0,1
78,solarlat30.5lon-100.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,30.5,-100.625,POINT (-100.625 30.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat30.5lon-100.625p61,680.0,1
79,solarlat31.0lon-105.0,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,31.0,-105.0,POINT (-105 31),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat31.0lon-105.0p61,680.0,1
80,solarlat31.0lon-102.5,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,31.0,-102.5,POINT (-102.5 31),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat31.0lon-102.5p61,680.0,1
81,solarlat31.5lon-105.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,31.5,-105.625,POINT (-105.625 31.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat31.5lon-105.625p61,680.0,1
82,solarlat31.5lon-100.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,31.5,-100.625,POINT (-100.625 31.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat31.5lon-100.625p61,680.0,1
83,solarlat32.0lon-104.375,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,32.0,-104.375,POINT (-104.375 32),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat32.0lon-104.375p61,680.0,1
84,solarlat32.0lon-99.375,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,32.0,-99.375,POINT (-99.375 32),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat32.0lon-99.375p61,680.0,1
85,solarlat32.5lon-100.0,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,32.5,-100.0,POINT (-100 32.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat32.5lon-100.0p61,680.0,1
86,windlat30.0lon-98.75,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p64,30.0,-98.75,POINT (-98.75 30),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,windlat30.0lon-98.75p64,16.0,1
87,windlat30.0lon-96.25,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p64,30.0,-96.25,POINT (-96.25 30),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,windlat30.0lon-96.25p64,16.0,1
88,windlat30.5lon-98.125,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p64,30.5,-98.125,POINT (-98.125 30.5),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,windlat30.5lon-98.125p64,16.0,1
89,windlat31.0lon-100.0,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p64,31.0,-100.0,POINT (-100 31),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,windlat31.0lon-100.0p64,16.0,1
90,solarlat30.0lon-98.75,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p64,30.0,-98.75,POINT (-98.75 30),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,solarlat30.0lon-98.75p64,680.0,1
91,solarlat30.0lon-96.25,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p64,30.0,-96.25,POINT (-96.25 30),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,solarlat30.0lon-96.25p64,680.0,1
92,solarlat30.5lon-98.125,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p64,30.5,-98.125,POINT (-98.125 30.5),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,solarlat30.5lon-98.125p64,680.0,1
93,solarlat31.0lon-100.0,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p64,31.0,-100.0,POINT (-100 31),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,solarlat31.0lon-100.0p64,680.0,1
94,windlat31.0lon-97.5,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,31.0,-97.5,POINT (-97.5 31),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat31.0lon-97.5p63,16.0,1
95,windlat31.5lon-98.125,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,31.5,-98.125,POINT (-98.125 31.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat31.5lon-98.125p63,16.0,1
96,windlat31.5lon-95.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,31.5,-95.625,POINT (-95.625 31.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat31.5lon-95.625p63,16.0,1
97,windlat32.0lon-96.875,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,32.0,-96.875,POINT (-96.875 32),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat32.0lon-96.875p63,16.0,1
98,windlat32.5lon-97.5,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,32.5,-97.5,POINT (-97.5 32.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat32.5lon-97.5p63,16.0,1
99,windlat32.5lon-95.0,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,32.5,-95.0,POINT (-95 32.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat32.5lon-95.0p63,16.0,1
100,windlat33.0lon-97.5,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,33.0,-97.5,POINT (-97.5 33),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat33.0lon-97.5p63,16.0,1
101,windlat33.5lon-98.75,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,33.5,-98.75,POINT (-98.75 33.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat33.5lon-98.75p63,16.0,1
102,windlat33.5lon-96.25,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,33.5,-96.25,POINT (-96.25 33.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat33.5lon-96.25p63,16.0,1
103,windlat34.0lon-98.125,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p63,34.0,-98.125,POINT (-98.125 34),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,windlat34.0lon-98.125p63,16.0,1
104,solarlat31.0lon-97.5,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,31.0,-97.5,POINT (-97.5 31),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat31.0lon-97.5p63,680.0,1
105,solarlat31.5lon-98.125,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,31.5,-98.125,POINT (-98.125 31.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat31.5lon-98.125p63,680.0,1
106,solarlat31.5lon-95.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,31.5,-95.625,POINT (-95.625 31.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat31.5lon-95.625p63,680.0,1
107,solarlat32.0lon-96.875,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,32.0,-96.875,POINT (-96.875 32),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat32.0lon-96.875p63,680.0,1
108,solarlat32.5lon-97.5,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,32.5,-97.5,POINT (-97.5 32.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat32.5lon-97.5p63,680.0,1
109,solarlat32.5lon-95.0,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,32.5,-95.0,POINT (-95 32.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat32.5lon-95.0p63,680.0,1
110,solarlat33.0lon-98.75,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,33.0,-98.75,POINT (-98.75 33),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat33.0lon-98.75p63,680.0,1
111,solarlat33.0lon-96.25,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,33.0,-96.25,POINT (-96.25 33),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat33.0lon-96.25p63,680.0,1
112,solarlat33.5lon-97.5,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,33.5,-97.5,POINT (-97.5 33.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat33.5lon-97.5p63,680.0,1
113,solarlat33.5lon-95.0,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,33.5,-95.0,POINT (-95 33.5),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat33.5lon-95.0p63,680.0,1
114,solarlat34.0lon-98.75,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p63,34.0,-98.75,POINT (-98.75 34),62.0,63.0,63.0,27.0123565705,13.5558014155,p63,rto10,solarlat34.0lon-98.75p63,680.0,1
115,windlat31.5lon-103.125,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p62,31.5,-103.125,POINT (-103.125 31.5),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,windlat31.5lon-103.125p62,16.0,1
116,windlat32.0lon-101.875,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p62,32.0,-101.875,POINT (-101.875 32),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,windlat32.0lon-101.875p62,16.0,1
117,windlat32.5lon-102.5,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p62,32.5,-102.5,POINT (-102.5 32.5),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,windlat32.5lon-102.5p62,16.0,1
118,solarlat31.5lon-103.125,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p62,31.5,-103.125,POINT (-103.125 31.5),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,solarlat31.5lon-103.125p62,680.0,1
119,solarlat32.0lon-101.875,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p62,32.0,-101.875,POINT (-101.875 32),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,solarlat32.0lon-101.875p62,680.0,1
120,solarlat32.5lon-102.5,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p62,32.5,-102.5,POINT (-102.5 32.5),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,solarlat32.5lon-102.5p62,680.0,1
121,windlat33.0lon-100.0,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p60,33.0,-100.0,POINT (-100 33),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,windlat33.0lon-100.0p60,16.0,1
122,windlat33.5lon-101.25,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p60,33.5,-101.25,POINT (-101.25 33.5),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,windlat33.5lon-101.25p60,16.0,1
123,windlat34.0lon-100.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p60,34.0,-100.625,POINT (-100.625 34),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,windlat34.0lon-100.625p60,16.0,1
124,windlat34.5lon-100.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,680807.9999999999,29657.6985,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p60,34.5,-100.625,POINT (-100.625 34.5),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,windlat34.5lon-100.625p60,16.0,1
125,solarlat33.5lon-100.0,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p60,33.5,-100.0,POINT (-100 33.5),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,solarlat33.5lon-100.0p60,680.0,1
126,solarlat34.5lon-100.0,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,571189.0038,13424.87916,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p60,34.5,-100.0,POINT (-100 34.5),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,solarlat34.5lon-100.0p60,680.0,1
